Fecha,Clima promedio,Temperatura mínima,Temperatura maxima,Pan comprado mañana,Pan comprado tarde,Pan vendido mañana,Pan vendido tarde,DiaSemana,Mes,DiaAnio,Anio,ClimaNumero,ClimaCodificado
2025-04-16,soleado,11,24,5,22,4,22,2.0,4.0,106.0,2025.0,1.0,0.0
2025-04-17,parcialmente nublado,12,23,5,22,3,20,3.0,4.0,107.0,2025.0,2.0,1.0
2025-04-18,nublado,10,21,5,22,4,22,4.0,4.0,108.0,2025.0,3.0,2.0
2025-04-19,despejado,9,25,12,12,12,12,5.0,4.0,109.0,2025.0,4.0,3.0
2025-04-20,soleado,10,24,12,12,12,12,6.0,4.0,110.0,2025.0,1.0,0.0
2025-04-21,lluvia ligera,13,19,5,22,2,15,0.0,4.0,111.0,2025.0,5.0,4.0
2025-04-22,nublado,12,20,5,22,4,22,1.0,4.0,112.0,2025.0,3.0,2.0
2025-04-23,parcialmente nublado,11,22,5,22,3,22,2.0,4.0,113.0,2025.0,2.0,1.0
2025-04-24,soleado,10,23,5,22,4,19,3.0,4.0,114.0,2025.0,1.0,0.0
2025-04-25,despejado,9,24,5,22,3,22,4.0,4.0,115.0,2025.0,4.0,3.0
2025-04-26,lluvia,14,18,12,12,8,8,5.0,4.0,116.0,2025.0,6.0,5.0
2025-04-27,nublado,13,19,12,12,12,12,6.0,4.0,117.0,2025.0,3.0,2.0
2025-04-28,parcialmente nublado,11,21,5,22,4,22,0.0,4.0,118.0,2025.0,2.0,1.0
2025-04-29,soleado,10,22,5,22,3,20,1.0,4.0,119.0,2025.0,1.0,0.0
2025-04-30,lluvia ligera,12,18,5,22,2,15,2.0,4.0,120.0,2025.0,5.0,4.0
2025-05-01,despejado,9,23,5,22,4,22,3.0,5.0,121.0,2025.0,4.0,3.0
2025-05-02,nublado,11,20,5,22,3,22,4.0,5.0,122.0,2025.0,3.0,2.0
2025-05-03,soleado,8,24,12,12,12,12,5.0,5.0,123.0,2025.0,1.0,0.0
2025-05-04,parcialmente nublado,9,22,12,12,12,12,6.0,5.0,124.0,2025.0,2.0,1.0
2025-05-05,lluvia,12,17,5,22,2,15,0.0,5.0,125.0,2025.0,6.0,5.0
2025-05-06,nublado,10,19,5,22,4,22,1.0,5.0,126.0,2025.0,3.0,2.0
2025-05-07,soleado,8,23,5,22,3,19,2.0,5.0,127.0,2025.0,1.0,0.0
2025-05-08,despejado,7,22,5,22,4,22,3.0,5.0,128.0,2025.0,4.0,3.0
2025-05-09,parcialmente nublado,9,21,5,22,3,22,4.0,5.0,129.0,2025.0,2.0,1.0
2025-05-10,lluvia ligera,11,18,12,12,8,8,5.0,5.0,130.0,2025.0,5.0,4.0
2025-05-11,nublado,10,20,12,12,12,12,6.0,5.0,131.0,2025.0,3.0,2.0
2025-05-12,soleado,8,22,5,22,4,20,0.0,5.0,132.0,2025.0,1.0,0.0
2025-05-13,parcialmente nublado,9,21,5,22,3,22,1.0,5.0,133.0,2025.0,2.0,1.0
2025-05-14,lluvia,12,17,5,22,2,15,2.0,5.0,134.0,2025.0,6.0,5.0
2025-05-15,parcialmente nublado,10,19,5,20,3,18,3.0,5.0,135.0,2025.0,2.0,1.0
2025-05-16,despejado,15,16,5,18,4,18,4.0,5.0,136.0,2025.0,4.0,3.0
2025-07-19,parcialmente nublado,13,16,10,20,9,15,,,,,,
